filename,width,height,class,xmin,ymin,xmax,ymax
000000_jpg.rf.0c6cbe31c8cd3a8fff7e59cd8543d2ef.jpg,640,640,Trash,29,518,38,531
000000_jpg.rf.0c6cbe31c8cd3a8fff7e59cd8543d2ef.jpg,640,640,Paper,297,332,310,349
000000_jpg.rf.0c6cbe31c8cd3a8fff7e59cd8543d2ef.jpg,640,640,Paper,322,244,362,278
000000_jpg.rf.20685588e69603a7984f8b91dd079b24.jpg,640,640,Plastic,393,310,423,356
000000_jpg.rf.20685588e69603a7984f8b91dd079b24.jpg,640,640,Paper,278,449,294,471
000000_jpg.rf.20685588e69603a7984f8b91dd079b24.jpg,640,640,Plastic,227,466,255,485
000000_jpg.rf.25457b13666ab1110154f1c2fec6ebf6.jpg,640,640,Plastic,137,124,530,400
000000_jpg.rf.41cbb7df54aafb3de73429f27ff3a7c0.jpg,640,640,Plastic,229,107,510,517
000000_jpg.rf.61e48e6d53abf930567fc2439918f2cc.jpg,640,640,Plastic,284,354,344,379
000000_jpg.rf.61e48e6d53abf930567fc2439918f2cc.jpg,640,640,Plastic,333,367,344,379
000000_jpg.rf.61e48e6d53abf930567fc2439918f2cc.jpg,640,640,Plastic,560,25,577,47
000000_jpg.rf.61e48e6d53abf930567fc2439918f2cc.jpg,640,640,Trash,571,88,583,93
000000_jpg.rf.61e48e6d53abf930567fc2439918f2cc.jpg,640,640,Trash,499,31,540,42
000000_jpg.rf.61e48e6d53abf930567fc2439918f2cc.jpg,640,640,Plastic,380,184,429,206
000000_jpg.rf.6c24ff9a3e22dad4140c269b1d49df96.jpg,640,640,Plastic,218,282,248,328
000000_jpg.rf.6c24ff9a3e22dad4140c269b1d49df96.jpg,640,640,Paper,350,162,367,185
000000_jpg.rf.6c24ff9a3e22dad4140c269b1d49df96.jpg,640,640,Plastic,390,148,419,167
000000_jpg.rf.6ea23dc3d908d81384b992a43d75069f.jpg,640,640,Plastic,297,384,360,445
000000_jpg.rf.7353a52688eab0ce0b7b721e11b6229b.jpg,640,640,Paper,292,331,310,346
000000_jpg.rf.7353a52688eab0ce0b7b721e11b6229b.jpg,640,640,Paper,363,266,402,310
000000_jpg.rf.83ae455b93e0b7b5aa4c21c11a0581ad.jpg,640,640,Trash,247,169,434,392
000000_jpg.rf.885cd3fb49c8bc649493b0c6c3f7e818.jpg,640,640,Plastic,213,255,493,565
000000_jpg.rf.885cd3fb49c8bc649493b0c6c3f7e818.jpg,640,640,Cardboard,214,223,492,328
000000_jpg.rf.885cd3fb49c8bc649493b0c6c3f7e818.jpg,640,640,Cardboard,450,487,472,531
000000_jpg.rf.91b69bfd6da92c9042458af5afd5d3c2.jpg,640,640,Plastic,326,219,371,248
000000_jpg.rf.91b69bfd6da92c9042458af5afd5d3c2.jpg,640,640,Paper,452,360,474,377
000000_jpg.rf.91b69bfd6da92c9042458af5afd5d3c2.jpg,640,640,Plastic,463,402,484,431
000000_jpg.rf.92e4c1329ac083d62d7f6e2ad4955f9c.jpg,640,640,Plastic,498,383,641,403
